"","institutionCode","catalogNumber","order","family","genus","scientificName","sex","recordedBy","recordNumber","eventDate","locality","decimalLatitude","decimalLongitude","verbatimElevationInMeters","DEMElevationInMeters","preparations","habitat","burnStatus","basisOfRecord","recordSource","site","county","residuals","percentDeviation"
"13","ASU","ASUMAC008929","Rodentia","Cricetidae","Peromyscus","Peromyscus boylii","f","Rowsey, Dakota M.; Upham, Nathan S.; Smith, Stephanie M.; Zamora Chavez, Luisa; Vidaure, Michael; Gilbert, Edward; Gilbert Kleker, Aven; Luedke, Kory; Walker, Lindsay; Pearson, Katie; Post, Greg","DMR0116",2022-05-13,"Santa Catalina Mts., Rose Canyon Campground, NW (Downstream) of Rose Canyon Dam",32.387836,-110.712315,2094,2123.58196123104,"alc | tiss","Madrean Oak Woodland","unburned","PRESERVED_SPECIMEN","ASU post-2020","OWS",NA,32.1535029328583,32.3043113245915
"14","ASU","ASUMAC008924","Rodentia","Cricetidae","Peromyscus","Peromyscus boylii","m","Rowsey, Dakota M.; Upham, Nathan S.; Smith, Stephanie M.; Zamora Chavez, Luisa; Vidaure, Michael; Gilbert, Edward; Gilbert Kleker, Aven; Luedke, Kory; Walker, Lindsay; Pearson, Katie; Post, Greg","DMR0117",2022-05-13,"Santa Catalina Mts., Rose Canyon Campground, NW (Downstream) of Rose Canyon Dam",32.3877069999999,-110.712655,2113,2128.17245007127,"skin | skull | skel | tiss","Madrean Oak Woodland","unburned","PRESERVED_SPECIMEN","ASU post-2020","OWS",NA,17.8550519517016,17.9387968449026
"15","ASU","ASUMAC008925","Rodentia","Cricetidae","Neotoma","Neotoma mexicana","f","Rowsey, Dakota M.; Upham, Nathan S.; Smith, Stephanie M.; Zamora Chavez, Luisa; Vidaure, Michael; Gilbert, Edward; Gilbert Kleker, Aven; Luedke, Kory; Walker, Lindsay; Pearson, Katie; Post, Greg","DMR0119",2022-05-13,"Santa Catalina Mts., Rose Canyon Campground, NW (Downstream) of Rose Canyon Dam",32.387774,-110.712733,2081,2124.52465575275,"skull | asr | tiss","Madrean Oak Woodland","unburned","PRESERVED_SPECIMEN","ASU post-2020","OWS",NA,46.020208911306,46.2360558038711
"16","ASU","ASUMAC008927","Rodentia","Sciuridae","Neotamias","Neotamias dorsalis","m","Rowsey, Dakota M.; Upham, Nathan S.; Smith, Stephanie M.; Zamora Chavez, Luisa; Vidaure, Michael; Gilbert, Edward; Gilbert Kleker, Aven; Luedke, Kory; Walker, Lindsay; Pearson, Katie; Post, Greg","DMR0123",2022-05-13,"Santa Catalina Mts., Rose Canyon Campground, Hillside NE of Rose Canyon Lake",32.388458,-110.711341,2130,2146.54125111355,"skin | skull | skel | tiss","Madrean Oak Woodland","unburned","PRESERVED_SPECIMEN","ASU post-2020","OWS",NA,19.3232226274782,19.4138536275792
"17","ASU","ASUMAC008928","Rodentia","Sciuridae","Neotamias","Neotamias dorsalis","m","Rowsey, Dakota M.; Upham, Nathan S.; Smith, Stephanie M.; Zamora Chavez, Luisa; Vidaure, Michael; Gilbert, Edward; Gilbert Kleker, Aven; Luedke, Kory; Walker, Lindsay; Pearson, Katie; Post, Greg","DMR0126",2022-05-13,"Santa Catalina Mts., Rose Canyon Campground, Hillside NE of Rose Canyon Lake",32.3895219999999,-110.710368,2114,2141.6962283967,"skin | skull | skel | tiss","Madrean Oak Woodland","unburned","PRESERVED_SPECIMEN","ASU post-2020","OWS",NA,30.3846755496904,30.5271876754315
"18","ASU","ASUMAC008930","Rodentia","Cricetidae","Peromyscus","Peromyscus boylii","m","Rowsey, Dakota M.; Upham, Nathan S.; Smith, Stephanie M.; Zamora Chavez, Luisa; Vidaure, Michael; Gilbert, Edward; Gilbert Kleker, Aven; Luedke, Kory; Walker, Lindsay; Pearson, Katie; Post, Greg","DMR0127",2022-05-13,"Santa Catalina Mts., Rose Canyon Campground, Hillside NE of Rose Canyon Lake",32.389854,-110.710502,2126,2150.30772658147,"alc | tiss","Madrean Oak Woodland","unburned","PRESERVED_SPECIMEN","ASU post-2020","OWS",NA,27.0663170051637,27.1932651559209
"19","ASU","ASUMAC008935","Rodentia","Sciuridae","Neotamias","Neotamias dorsalis","f","Rowsey, Dakota M.; Upham, Nathan S.; Smith, Stephanie M.; Zamora Chavez, Luisa; Vidaure, Michael; Gilbert, Edward; Gilbert Kleker, Aven; Luedke, Kory; Walker, Lindsay; Pearson, Katie; Post, Greg","DMR0133",2022-05-13,"Santa Catalina Mts., Rose Canyon Campground, Hillside NE of Rose Canyon Lake",32.388863,-110.711114,2152.58696719132,2152.58696719132,"alc | tiss","Madrean Oak Woodland","unburned","PRESERVED_SPECIMEN","ASU post-2020","OWS",NA,2.91399849343395,2.92766591334852
"20","ASU","ASUMAC008937","Rodentia","Sciuridae","Neotamias","Neotamias dorsalis","f","Rowsey, Dakota M.; Upham, Nathan S.; Smith, Stephanie M.; Zamora Chavez, Luisa; Vidaure, Michael; Gilbert, Edward; Gilbert Kleker, Aven; Luedke, Kory; Walker, Lindsay; Pearson, Katie; Post, Greg","DMR0137",2022-05-13,"Santa Catalina Mts., Rose Canyon Campground, Riparian Corridor E (Upstream) of Rose Canyon Lake",32.3895979999999,-110.708088,2118,2145.17246931088,"alc | tiss","Madrean Oak Woodland","unburned","PRESERVED_SPECIMEN","ASU post-2020","OWS",NA,29.8842975541048,30.0244627753444
"21","ASU","ASUMAC008994","Rodentia","Cricetidae","Reithrodontomys","Reithrodontomys megalotis","m","Upham, Nathan S.; Rowsey, Dakota M.; Rivera, Damien; Zamora Chavez, Luisa J.; Gutierrez, Eduardo; De Leon, Gilma; Mohammadian, Shahrzad; Baez, Justin","NSU0108",2023-07-01,"Santa Catalina Mts., Old Mt. Lemmon Rd. 0.917 km E Green Spring",32.448915,-110.737592,2078,2083.46999953374,"alc | tiss","Madrean Oak Woodland","burned","PRESERVED_SPECIMEN","ASU post-2020","OWN",NA,7.94801687462032,7.98529516572387
"22","ASU","ASUMAC008995","Rodentia","Cricetidae","Reithrodontomys","Reithrodontomys megalotis","m","Upham, Nathan S.; Rowsey, Dakota M.; Rivera, Damien; Zamora Chavez, Luisa J.; Gutierrez, Eduardo; De Leon, Gilma; Mohammadian, Shahrzad; Baez, Justin","NSU0109",2023-07-01,"Santa Catalina Mts., Old Mt. Lemmon Rd. 0.917 km E Green Spring",32.449221,-110.737668,2078,2088.66410086604,"alc | tiss","Madrean Oak Woodland","burned","PRESERVED_SPECIMEN","ASU post-2020","OWN",NA,13.1421182069202,13.2037582003881
"23","ASU","ASUMAC008996","Rodentia","Cricetidae","Sigmodon","Sigmodon ochrognathus","f","Upham, Nathan S.; Rowsey, Dakota M.; Rivera, Damien; Zamora Chavez, Luisa J.; Gutierrez, Eduardo; De Leon, Gilma; Mohammadian, Shahrzad; Baez, Justin","NSU0110",2023-07-01,"Santa Catalina Mts., Old Mt. Lemmon Rd. 0.917 km E Green Spring",32.449544,-110.737343,2083,2091.42633433976,"alc | tiss","Madrean Oak Woodland","burned","PRESERVED_SPECIMEN","ASU post-2020","OWN",NA,10.9335780434335,10.9848594022349
"24","ASU","ASUMAC008997","Rodentia","Cricetidae","Reithrodontomys","Reithrodontomys megalotis","f","Upham, Nathan S.; Rowsey, Dakota M.; Rivera, Damien; Zamora Chavez, Luisa J.; Gutierrez, Eduardo; De Leon, Gilma; Mohammadian, Shahrzad; Baez, Justin","NSU0111",2023-07-01,"Santa Catalina Mts., Old Mt. Lemmon Rd. 0.917 km E Green Spring",32.4507839999999,-110.736877,2062,2063.62823593734,"alc | tiss","Madrean Oak Woodland","burned","PRESERVED_SPECIMEN","ASU post-2020","OWN",NA,4.01272891728236,4.03154967207665
"25","ASU","ASUMAC008998","Rodentia","Cricetidae","Sigmodon","Sigmodon ochrognathus","m","Upham, Nathan S.; Rowsey, Dakota M.; Rivera, Damien; Zamora Chavez, Luisa J.; Gutierrez, Eduardo; De Leon, Gilma; Mohammadian, Shahrzad; Baez, Justin","NSU0112",2023-07-01,"Santa Catalina Mts., Old Mt. Lemmon Rd. 0.917 km E Green Spring",32.449865,-110.738021,2089,2094.0279998134,"alc | tiss","Madrean Oak Woodland","burned","PRESERVED_SPECIMEN","ASU post-2020","OWN",NA,7.57031515242514,7.60582192303844
"26","ASU","ASUMAC008999","Rodentia","Cricetidae","Peromyscus","Peromyscus boylii","m","Upham, Nathan S.; Rowsey, Dakota M.; Rivera, Damien; Zamora Chavez, Luisa J.; Gutierrez, Eduardo; De Leon, Gilma; Mohammadian, Shahrzad; Baez, Justin","NSU0114",2023-07-01,"Santa Catalina Mts., Old Mt. Lemmon Rd. 0.917 km E Green Spring",32.4504659999999,-110.736558,2065,2065.24483009265,"alc | tiss","Madrean Oak Woodland","burned","PRESERVED_SPECIMEN","ASU post-2020","OWN",NA,2.64685889026813,2.65927335513125
"27","ASU","ASUMAC009000","Rodentia","Cricetidae","Peromyscus","Peromyscus boylii","f","Upham, Nathan S.; Rowsey, Dakota M.; Rivera, Damien; Zamora Chavez, Luisa J.; Gutierrez, Eduardo; De Leon, Gilma; Mohammadian, Shahrzad; Baez, Justin","NSU0115",2023-07-01,"Santa Catalina Mts., Old Mt. Lemmon Rd. 0.917 km E Green Spring",32.450394,-110.736435,2067,2064.02763516112,"alc | tiss","Madrean Oak Woodland","burned","PRESERVED_SPECIMEN","ASU post-2020","OWN",NA,-0.558645496144366,0.561265690559838
"28","ASU","ASUMAC009001","Rodentia","Cricetidae","Peromyscus","Peromyscus boylii","m","Upham, Nathan S.; Rowsey, Dakota M.; Rivera, Damien; Zamora Chavez, Luisa J.; Gutierrez, Eduardo; De Leon, Gilma; Mohammadian, Shahrzad; Baez, Justin","NSU0116",2023-07-01,"Santa Catalina Mts., Old Mt. Lemmon Rd. 0.917 km E Green Spring",32.4508689999999,-110.736958,2055,2062.44933395362,"alc | tiss","Madrean Oak Woodland","burned","PRESERVED_SPECIMEN","ASU post-2020","OWN",NA,9.79291002565234,9.83884135122022
"29","ASU","ASUMAC008993","Rodentia","Cricetidae","Peromyscus","Peromyscus boylii","f","Upham, Nathan S.; Rowsey, Dakota M.; Rivera, Damien; Zamora Chavez, Luisa J.; Gutierrez, Eduardo; De Leon, Gilma; Mohammadian, Shahrzad; Baez, Justin","NSU0120",2023-07-01,"Santa Catalina Mts., Old Mt. Lemmon Rd. 0.917 km E Green Spring",32.449679,-110.736582,2075,2083.65005149649,"alc | tiss","Madrean Oak Woodland","burned","PRESERVED_SPECIMEN","ASU post-2020","OWN",NA,11.1105330196945,11.16264434391
"30","ASU","ASUMAC009002","Rodentia","Cricetidae","Sigmodon","Sigmodon ochrognathus","f","Upham, Nathan S.; Rowsey, Dakota M.; Rivera, Damien; Zamora Chavez, Luisa J.; Gutierrez, Eduardo; De Leon, Gilma; Mohammadian, Shahrzad; Baez, Justin; Liao, Rosie","NSU0137",2023-07-02,"Santa Catalina Mts., Old Mt. Lemmon Rd. 0.917 km E Green Spring",32.449154,-110.737861,2065,2087.4860616265,"alc | tiss","Madrean Oak Woodland","burned","PRESERVED_SPECIMEN","ASU post-2020","OWN",NA,24.8880904241183,25.0048221188892
"31","ASU","ASUMAC009003","Rodentia","Cricetidae","Neotoma","Neotoma mexicana","f","Upham, Nathan S.; Rowsey, Dakota M.; Rivera, Damien; Zamora Chavez, Luisa J.; Gutierrez, Eduardo; De Leon, Gilma; Mohammadian, Shahrzad; Baez, Justin; Liao, Rosie","NSU0138",2023-07-02,"Santa Catalina Mts., Old Mt. Lemmon Rd. 0.917 km E Green Spring",32.4507139999999,-110.736826,2063,2064.60485516415,"alc | tiss","Madrean Oak Woodland","burned","PRESERVED_SPECIMEN","ASU post-2020","OWN",NA,3.99519341665125,4.01393192533214
"32","ASU","ASUMAC009004","Rodentia","Cricetidae","Neotoma","Neotoma albigula","m","Upham, Nathan S.; Rowsey, Dakota M.; Rivera, Damien; Zamora Chavez, Luisa J.; Gutierrez, Eduardo; De Leon, Gilma; Mohammadian, Shahrzad; Baez, Justin; Liao, Rosie","NSU0139",2023-07-02,"Santa Catalina Mts., Old Mt. Lemmon Rd. 0.917 km E Green Spring",32.4491689999999,-110.737905,2071,2087.57104719362,"alc | tiss","Madrean Oak Woodland","burned","PRESERVED_SPECIMEN","ASU post-2020","OWN",NA,19.0081476265899,19.0973008420073
"33","ASU","ASUMAC008938","Rodentia","Cricetidae","Peromyscus","Peromyscus maniculatus","m","Rowsey, Dakota M.; Upham, Nathan S.; Smith, Stephanie M.; Liao, Rosie; Zamora Chavez, Luisa; Vidaure, Michael; Gilbert, Edward; Kleker, Dorea; Gilbert Kleker, Aven; Luedke, Kory","DMR0153",2022-05-15,"Santa Catalina Mts., Bear Wallow NW of Santa Catalina Hwy at Soldiers Peak Rd.",32.4259869999999,-110.740407,2364,2385.73463955339,"skull | asr | tiss","Petran Montane Conifer Forest","unburned","PRESERVED_SPECIMEN","ASU post-2020","CFS",NA,25.8844048460339,26.005809517679
"34","ASU","ASUMAC008932","Rodentia","Cricetidae","Peromyscus","Peromyscus boylii","f","Rowsey, Dakota M.; Upham, Nathan S.; Smith, Stephanie M.; Liao, Rosie; Zamora Chavez, Luisa; Vidaure, Michael; Gilbert, Edward; Kleker, Dorea; Gilbert Kleker, Aven; Luedke, Kory","DMR0154",2022-05-15,"Santa Catalina Mts., Bear Wallow NW of Santa Catalina Hwy at Soldiers Peak Rd.",32.4259169999999,-110.740383,2366,2387.16546161397,"alc | tiss","Petran Montane Conifer Forest","unburned","PRESERVED_SPECIMEN","ASU post-2020","CFS",NA,25.326917451731,25.4457073607631
"35","ASU","ASUMAC008939","Rodentia","Cricetidae","Peromyscus","Peromyscus boylii","m","Rowsey, Dakota M.; Upham, Nathan S.; Smith, Stephanie M.; Liao, Rosie; Zamora Chavez, Luisa; Vidaure, Michael; Gilbert, Edward; Kleker, Dorea; Gilbert Kleker, Aven; Luedke, Kory","DMR0155",2022-05-15,"Santa Catalina Mts., Bear Wallow NW of Santa Catalina Hwy at Soldiers Peak Rd.",32.425617,-110.739954,2361,2383.61829101013,"alc | tiss","Petran Montane Conifer Forest","unburned","PRESERVED_SPECIMEN","ASU post-2020","CFS",NA,26.7505204850982,26.8759874670568
"36","ASU","ASUMAC008940","Rodentia","Cricetidae","Peromyscus","Peromyscus maniculatus","m","Rowsey, Dakota M.; Upham, Nathan S.; Smith, Stephanie M.; Liao, Rosie; Zamora Chavez, Luisa; Vidaure, Michael; Gilbert, Edward; Kleker, Dorea; Gilbert Kleker, Aven; Luedke, Kory","DMR0156",2022-05-15,"Santa Catalina Mts., Bear Wallow NW of Santa Catalina Hwy at Soldiers Peak Rd.",32.4255909999999,-110.739936,2365,2383.55339586211,"skull | asr | tiss","Petran Montane Conifer Forest","unburned","PRESERVED_SPECIMEN","ASU post-2020","CFS",NA,22.7090064273124,22.8155176445914
"37","ASU","ASUMAC008941","Rodentia","Cricetidae","Peromyscus","Peromyscus maniculatus","f","Rowsey, Dakota M.; Upham, Nathan S.; Smith, Stephanie M.; Liao, Rosie; Zamora Chavez, Luisa; Vidaure, Michael; Gilbert, Edward; Kleker, Dorea; Gilbert Kleker, Aven; Luedke, Kory","DMR0157",2022-05-15,"Santa Catalina Mts., Bear Wallow NW of Santa Catalina Hwy at Soldiers Peak Rd.",32.425629,-110.739727,2373,2380.07235562293,"alc | tiss","Petran Montane Conifer Forest","unburned","PRESERVED_SPECIMEN","ASU post-2020","CFS",NA,11.2747283686014,11.3276098122204
"38","ASU","ASUMAC008933","Rodentia","Cricetidae","Peromyscus","Peromyscus maniculatus","m","Rowsey, Dakota M.; Upham, Nathan S.; Smith, Stephanie M.; Liao, Rosie; Zamora Chavez, Luisa; Vidaure, Michael; Gilbert, Edward; Kleker, Dorea; Gilbert Kleker, Aven; Luedke, Kory","DMR0158",2022-05-15,"Santa Catalina Mts., Bear Wallow NW of Santa Catalina Hwy at Soldiers Peak Rd.",32.425232,-110.739191,2355,2379.3617100524,"alc | tiss","Petran Montane Conifer Forest","unburned","PRESERVED_SPECIMEN","ASU post-2020","CFS",NA,28.4588678920166,28.5923474729602
"39","ASU","ASUMAC008942","Rodentia","Sciuridae","Neotamias","Neotamias dorsalis","m","Rowsey, Dakota M.; Upham, Nathan S.; Smith, Stephanie M.; Liao, Rosie; Zamora Chavez, Luisa; Vidaure, Michael; Gilbert, Edward; Kleker, Dorea; Gilbert Kleker, Aven; Luedke, Kory","DMR0160",2022-05-15,"Santa Catalina Mts., Bear Wallow NW of Santa Catalina Hwy at Soldiers Peak Rd.",32.4254529999999,-110.740354,2385,2398.42578010256,"alc | tiss","Petran Montane Conifer Forest","unburned","PRESERVED_SPECIMEN","ASU post-2020","CFS",NA,17.6982961189349,17.7813057860213
"40","ASU","ASUMAC008936","Rodentia","Cricetidae","Peromyscus","Peromyscus maniculatus","f","Rowsey, Dakota M.; Upham, Nathan S.; Smith, Stephanie M.; Liao, Rosie; Zamora Chavez, Luisa; Vidaure, Michael; Gilbert, Edward; Kleker, Dorea; Gilbert Kleker, Aven; Luedke, Kory","DMR0163",2022-05-15,"Santa Catalina Mts., Bear Wallow NW of Santa Catalina Hwy at Soldiers Peak Rd.",32.4250359999999,-110.740288,2401,2410.94864519491,"skull | asr | tiss","Petran Montane Conifer Forest","unburned","PRESERVED_SPECIMEN","ASU post-2020","CFS",NA,14.3146855722227,14.3818252152601
"41","ASU","ASUMAC008934","Rodentia","Sciuridae","Neotamias","Neotamias dorsalis","m","Rowsey, Dakota M.; Upham, Nathan S.; Smith, Stephanie M.; Liao, Rosie; Zamora Chavez, Luisa; Vidaure, Michael; Gilbert, Edward; Kleker, Dorea; Gilbert Kleker, Aven; Luedke, Kory","DMR0165",2022-05-15,"Santa Catalina Mts., Bear Wallow NW of Santa Catalina Hwy at Soldiers Peak Rd.",32.4249569999999,-110.740188,2407,2409.59202871626,"alc | tiss","Petran Montane Conifer Forest","unburned","PRESERVED_SPECIMEN","ASU post-2020","CFS",NA,6.99314072892409,7.0259403995757
"42","ASU","ASUMAC008943","Rodentia","Sciuridae","Neotamias","Neotamias dorsalis","m","Rowsey, Dakota M.; Upham, Nathan S.; Smith, Stephanie M.; Liao, Rosie; Zamora Chavez, Luisa; Vidaure, Michael; Gilbert, Edward; Kleker, Dorea; Gilbert Kleker, Aven; Luedke, Kory","DMR0168",2022-05-15,"Santa Catalina Mts., Bear Wallow SE of culvert beneath General Hitchcock Hwy.",32.422614,-110.733364,2419.83658371082,2419.83658371082,"alc | tiss","Petran Montane Conifer Forest","unburned","PRESERVED_SPECIMEN","ASU post-2020","CFS",NA,4.47614534317552,4.49713964298099
"43","ASU","ASUMAC008946","Eulipotyphla","Soricidae","Sorex","Sorex monticolus","m","Upham, Nathan S.; Rowsey, Dakota M.; Hess, Savage C.; Zamora Chavez, Luisa; Liao, Rosie; Baez, Justin; Rivera, Damien","NSU0018",2022-09-09,"Santa Catalina Mts., Mt. Lemmon Peak at Mt. Lemmon Trailhead",32.4414069999999,-110.787782,2770,2788.9607982726,"alc | tiss","Petran Montane Conifer Forest","unburned","PRESERVED_SPECIMEN","ASU post-2020","CFP",NA,25.4837442240414,25.6032696919133
"44","ASU","ASUMAC008950","Rodentia","Cricetidae","Neotoma","Neotoma mexicana","f","Upham, Nathan S.; Rowsey, Dakota M.; Hess, Savage C.; Zamora Chavez, Luisa; Liao, Rosie; Baez, Justin; Rivera, Damien","NSU0019",2022-09-09,"Santa Catalina Mts., Mt. Lemmon Peak at Mt. Lemmon Trailhead",32.441125,-110.786114,2760,2778.45988072328,"alc | tiss","Petran Montane Conifer Forest","unburned","PRESERVED_SPECIMEN","ASU post-2020","CFP",NA,24.9243739491351,25.0412758231884
"45","ASU","ASUMAC008926","Rodentia","Cricetidae","Neotoma","Neotoma mexicana","f","Upham, Nathan S.; Rowsey, Dakota M.; Hess, Savage C.; Zamora Chavez, Luisa; Liao, Rosie; Baez, Justin; Rivera, Damien","NSU0020",2022-09-09,"Santa Catalina Mts., Mt. Lemmon Peak at Mt. Lemmon Trailhead",32.441259,-110.786177,2757,2773.25451561834,"asr | skull | tiss","Petran Montane Conifer Forest","unburned","PRESERVED_SPECIMEN","ASU post-2020","CFP",NA,22.7014730265192,22.8079489101656
"46","ASU","ASUMAC008947","Rodentia","Cricetidae","Peromyscus","Peromyscus maniculatus","m","Upham, Nathan S.; Rowsey, Dakota M.; Hess, Savage C.; Zamora Chavez, Luisa; Liao, Rosie; Baez, Justin; Rivera, Damien","NSU0022",2022-09-09,"Santa Catalina Mts., Mt. Lemmon Peak at Mt. Lemmon Trailhead",32.44106,-110.785339,2758,2779.5967078158,"alc | tiss","Petran Montane Conifer Forest","unburned","PRESERVED_SPECIMEN","ASU post-2020","CFP",NA,28.0495104965379,28.1810700835515
"47","ASU","ASUMAC008948","Rodentia","Cricetidae","Peromyscus","Peromyscus maniculatus","f","Upham, Nathan S.; Rowsey, Dakota M.; Hess, Savage C.; Zamora Chavez, Luisa; Liao, Rosie; Baez, Justin; Rivera, Damien","NSU0024",2022-09-09,"Santa Catalina Mts., Mt. Lemmon Peak at Mt. Lemmon Trailhead",32.4410809999999,-110.785628,2759,2778.67867126921,"alc | tiss","Petran Montane Conifer Forest","unburned","PRESERVED_SPECIMEN","ASU post-2020","CFP",NA,26.1373192225065,26.2599101291457
